STATIONNAME,STATIONARRONDISSEMENT,LATITUDE,LONGITUDE,STATION_ID
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.554373399819674,-73.55137467384337,111
Métro Beaubien (de St-Vallier / Beaubien),Rosemont - La Petite-Patrie,45.53478444274838,-73.60463261604308,112
Roy / St-André,Le Plateau-Mont-Royal,45.52161742271569,-73.57037329677041,113
Berri / de Maisonneuve,Ville-Marie,45.515313505702075,-73.56135049208204,114
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,115
du Havre / Hochelaga,Ville-Marie,45.535839774830706,-73.55793272432493,116
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),Rosemont - La Petite-Patrie,45.575707,-73.561562,117
de Maisonneuve / Mackay,Ville-Marie,45.49652610927994,-73.5787707567215,118
St-Jacques / Richmond,Le Sud-Ouest,45.4906636488045,-73.57080727815628,119
Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.50788520688478,-73.56315059590997,120
Melrose / de Verdun,Verdun,45.45381979371188,-73.57238446649716,121
Viger / Chenneville,Ville-Marie,45.50531166520915,-73.56089115142822,122
Calixa-Lavallée / Rachel 2,Le Plateau-Mont-Royal,45.52783105277898,-73.57195928692818,123
Collège de Maisonneuve (Sherbrooke / Bourbonnière),Mercier - Hochelaga-Maisonneuve,45.55144364425768,-73.55469642207026,124
20e avenue / de Bellechasse,Rosemont - La Petite-Patrie,45.55992951142522,-73.5767751932144,125
Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.52723106564012,-73.58672618865965,126
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50094101588506,-73.62563699483871,127
Notre-Dame / St-Gabriel,Ville-Marie,45.50714391928411,-73.55511903762817,128
Gare d'autocars de Montréal (Berri / Ontario),Ville-Marie,45.516926210319546,-73.56425732374191,129
de Courcelle / Acorn,Le Sud-Ouest,45.47400860229191,-73.59178466722369,130
de Maisonneuve / Mansfield (sud-est),Ville-Marie,45.50229349416256,-73.5733064264059,131
Milton / St-Laurent,Le Plateau-Mont-Royal,45.512916325090295,-73.57055649161339,132
St-Laurent / Pl. du Marché,Ville-Marie,45.50928960913111,-73.56241598725319,133
McTavish / Sherbrooke,Ville-Marie,45.50277615861811,-73.57589408755302,134
de Maisonneuve / Mansfield (nord),Ville-Marie,45.502386079583346,-73.57333794236183,135
de la Côte-Ste-Catherine / Davaar,Outremont,45.51416245548193,-73.61105918884276,136
Clark / Ontario,Ville-Marie,45.51049728732744,-73.56678128242493,137
de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761009451047,-73.55183601379395,138
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,139
9e avenue / Masson,Rosemont - La Petite-Patrie,45.54948994879926,-73.57327222824097,140
1ère avenue / St-Zotique,Rosemont - La Petite-Patrie,45.551916701344936,-73.59366238117218,141
de Maisonneuve / Aylmer (est),Ville-Marie,45.50538591756765,-73.5704317688942,142
Jeanne-Mance / Sherbrooke,Le Plateau-Mont-Royal,45.50934693918775,-73.57122302055359,143
de Gaspé / Marmier,Rosemont - La Petite-Patrie,45.529668174024685,-73.60166944563389,144
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.48948092966191,-73.58455628156662,145
Ottawa / du Séminaire,Le Sud-Ouest,45.4912954250061,-73.56159925460815,146
des Barges / des Bassins,Le Sud-Ouest,45.4885952842812,-73.5635170340538,147
Fabrik8 (Waverly / Jean-Talon),Villeray—Saint-Michel—Parc-Extension,45.53330725719417,-73.62082242965698,148
de la Commune / King,Ville-Marie,45.49750375338383,-73.55284452438353,149
Stanley / René-Lévesque,Ville-Marie,45.49790394592446,-73.57077571808077,150
Grand Boulevard / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.46659823105616,-73.62334638833998,151
Gary-Carter / St-Laurent,Villeray—Saint-Michel—Parc-Extension,45.53613488953656,-73.62258464097977,152
Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,153
Sherbrooke / Benny,Côte-des-Neiges - Notre-Dame-de-Grâce,45.46489980721603,-73.62700089812279,154
Cathcart / McGill College,Ville-Marie,45.501187681489775,-73.57045487814501,155
Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.51401222645779,-73.56598667800426,156
Ste-Catherine / Drummond,Ville-Marie,45.498488900657,-73.57436656951904,157
de Maisonneuve / Fullum,Ville-Marie,45.52797141659334,-73.54948371648788,158
Kent / Hudson,Côte-des-Neiges - Notre-Dame-de-Grâce,45.5058412398175,-73.62931698560715,159
de la Porte de Québec / St-André,Ville-Marie,45.5132941,-73.5505781,160
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,45.46691310542626,-73.6315867306621,161
Marché Atwater,Le Sud-Ouest,45.48020822800015,-73.57759863138199,162
Place Ville-Marie (Robert-Bourassa / René-Lévesque),Ville-Marie,45.502182909901194,-73.56825381517409,163
Elmwood / Mc Dougall,Outremont,45.51778642010814,-73.60364019870758,164
Bennett / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.55315915057821,-73.53263273835182,165
Wilson / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.4703791154553,-73.61663818359374,166
Atwater / Greene,Le Sud-Ouest,45.48049514330605,-73.57782661914825,167
3e avenue / Wellington,Verdun,45.457304311219616,-73.56723271765077,168
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.50304782909863,-73.56058964667682,169
Parc Georges St-Pierre (Oxford / Upper Lachine),Côte-des-Neiges - Notre-Dame-de-Grâce,45.46887995929811,-73.60943913459778,170
St-Hubert / de Maisonneuve (nord),Ville-Marie,45.51613214980722,-73.56049686670303,171
Square-Victoria (Viger / du Square-Victoria),Ville-Marie,45.50208503935104,-73.56294138360681,172
Garnier / Beaubien,Rosemont - La Petite-Patrie,45.54144823434163,-73.59839379787445,173
Métro Lucien-L'Allier (Lucien l'Allier / Argyle),Ville-Marie,45.49487159597493,-73.57112377882004,174
St-Jacques / McGill,Ville-Marie,45.501148148218206,-73.56082946062088,175
du Séminaire / de la Montagne,Le Sud-Ouest,45.4921078892434,-73.56246292591095,176
Jacques-Casault / Christophe-Colomb,Ahuntsic-Cartierville,45.551961779348346,-73.6303174495697,177
Parc St-Gabriel (Grand Trunk / Ropery),Le Sud-Ouest,45.478545712518894,-73.56572315096855,178
